trading_date,original_holding,traded_holding,model_return,spy_return
2014-08-08,XLK,TQQQ,0.02131886686590012,0.011568898748832046
2014-08-11,XLK,TQQQ,0.018134220313927862,0.002897938018396218
2014-08-12,XLK,TQQQ,-0.0023065626980609544,-0.0013932108782723773
2014-08-13,XLK,TQQQ,0.03249470236608776,0.0067689638136552155
2014-08-14,XLK,TQQQ,0.01542453670230004,0.0047218137252982295
2014-08-15,XLK,TQQQ,0.013597973233469896,-0.00020429754421269486
2014-08-18,XLK,TQQQ,0.024172289875775688,0.008379314221437895
2014-08-19,XLK,TQQQ,0.017228797592014233,0.0052188831379786915
2014-08-20,XLK,TQQQ,0.0,0.0026714994754142296
2014-08-21,XLK,TQQQ,0.005684807215142751,0.0029157542549447246
2014-08-22,XLK,TQQQ,0.003921868112704674,-0.001553872474154172
2014-08-25,XLK,TQQQ,0.011145398677610885,0.005070508029804577
2014-08-26,XLK,TQQQ,0.003409104504863647,0.0006493750489222627
2014-08-27,XLK,TQQQ,0.00011359850581360575,-0.00039935022374804063
2014-08-28,XLK,TQQQ,-0.004076576264276155,-0.00054931640625
2014-08-29,XLK,TQQQ,0.011711031979107167,0.0028480429996855516
2014-09-02,XLK,TQQQ,0.008316644568602927,-0.0004982616719163557
2014-09-03,XLK,TQQQ,-0.017164859373346886,-0.0005483306416276257
2014-09-04,XLK,TQQQ,-0.0031751585551448303,-0.0014463505542783306
2014-09-05,XLK,TQQQ,0.015471982870576717,0.004495249319733663
2014-09-08,XLK,TQQQ,0.005041439965977945,-0.002585670881024127
2014-09-09,XLK,TQQQ,-0.024300170251785325,-0.00633126794385408
2014-09-10,XLK,TQQQ,0.023191703407581477,0.0037627933596251495
2014-09-11,XLK,TQQQ,-0.0007814465635838097,0.001149576243911099
2014-09-12,XLK,TQQQ,-0.015755927407193115,-0.005841228912228158
2014-09-15,XLK,TQQQ,-0.03008615031050299,-0.0007533227117718644
2014-09-16,XLK,TQQQ,0.02703969336322465,0.007538446236846408
2014-09-17,XLK,TQQQ,0.004900650391859829,0.0013467890972420626
2014-09-18,XLK,TQQQ,0.021549146125622753,0.005330048937577825
2014-09-19,XLK,TQQQ,-0.0022201439805970002,-0.0008968901467028001
2014-09-22,XLK,TQQQ,-0.027150710776392528,-0.007722984929379506
2014-09-23,XLK,TQQQ,-0.0086924981889126,-0.005724325506336614
2014-09-24,XLK,TQQQ,0.032422022515825155,0.00782790310973036
2014-09-25,XLK,TQQQ,-0.06347818479954237,-0.01613550441018441
2014-09-26,XLK,TQQQ,0.03198125736039237,0.007945388548898036
2014-09-29,XLK,TQQQ,-0.003353562958837153,-0.0018191036960814033
2014-09-30,XLK,TQQQ,0.00371292337928808,-0.0026323227262577964
2014-10-01,XLK,TQQQ,-0.04785570155041552,-0.01355191407494305
2014-10-02,XLK,TQQQ,-0.0004859951967335352,0.00015435440367794762
2014-10-03,XLK,TQQQ,0.030122861721209482,0.011009359686653841
2014-10-06,XLK,TQQQ,-0.006838657739348664,-0.0011704202184383838
2014-10-07,XLK,TQQQ,-0.04226541619979329,-0.015436338493730606
2014-10-08,XLK,TQQQ,0.0577660655645611,0.017489418290824288
2014-10-09,XLK,TQQQ,-0.04980628326740222,-0.019833166744251174
2014-10-10,XLK,TQQQ,-0.0748647118934972,-0.0114144035712882
2014-10-13,XLK,TQQQ,-0.04679377325940415,-0.016426943079205336
2014-10-14,XLK,TQQQ,0.0018186506404531677,0.001547373568465904
2014-10-15,XLK,TQQQ,-0.021359769610024615,-0.006766139014968364
2014-10-16,XLK,TQQQ,-0.015549676243295951,-0.0008581688011894961
2014-10-17,XLK,TQQQ,0.039124756464748556,0.011810795607349878
